model,split,rmse,truth,predict
r1+r2-rf-rdkit_2d_normalized,23,0.5025966971325179,"[1.9294189257142929, 2.7067177823367587, 3.016197353512439, 3.0989896394011773, 3.128722284338427, 1.7671558660821804, 2.586587304671755, 1.9420080530223127, 3.5706596700215343, 3.841265592625783]","[2.207010319185784, 2.393436507326137, 2.566747595459431, 2.555221084328001, 3.154315411898269, 2.443722796681974, 2.6221760898878923, 2.688894496904934, 3.056120947990051, 3.0856935601463804]"
r1+r2-rf-rdkit_2d_normalized,24,0.43250616588101193,"[2.170261715394957, 1.7283537820212285, 1.6434526764861874, 1.6580113966571124, 2.3820170425748683, 1.792391689498254, 3.091139153825755, 1.8228216453031043, 2.164352855784437, 2.746244871720198]","[1.9354262272281515, 2.1306544292351712, 2.308255822996878, 1.9980165663982128, 2.088035230545647, 2.156034273567362, 2.6505028599515823, 2.2209594319861394, 2.8799599884465046, 2.8586136182876705]"
r1+r2-rf-rdkit_2d_normalized,25,0.4623324963456597,"[1.5440680443502757, 2.423245873936808, 2.707995746422929, 2.667452952889954, 2.779957051246906, 1.7075701760979365, 1.9890046156985368, 1.5622928644564746, 2.7958800173440754, 2.909823369650912]","[1.844137963214097, 2.131522044653253, 2.215689759579585, 2.0020524806060145, 2.3444672993837314, 2.276052003617086, 2.3600116883683966, 2.252711444664269, 2.667338952841896, 2.5443430439589743]"
r1+r2-rf-rdkit_2d_normalized,26,0.47234987289212066,"[2.7741518589547103, 1.8948696567452523, 1.7853298350107671, 1.7201593034059568, 1.7520484478194385, 1.7032913781186614, 1.7671558660821804, 1.8603380065709936, 2.9954157985424152, 2.574609941340188]","[1.5479270216596803, 1.46641695506291, 1.3896531509704233, 1.4435832902793988, 1.442237110928634, 1.4094059577808389, 1.5253938177981607, 1.7213309857970684, 2.9235613403130496, 2.7881609141035826]"
r1+r2-rf-rdkit_2d_normalized,27,0.4859268340755093,"[1.3617278360175928, 1.5185139398778875, 1.7558748556724917, 1.802773725291976, 2.1861083798132053, 2.0791812460476247, 2.4463818122224423, 2.631950826259217, 3.750970984437319, 2.6915235221681546]","[2.035266259137974, 2.0432434880911527, 2.120614771249258, 2.1387096606239138, 2.868114509463409, 1.924071309921668, 2.1566020949907285, 2.099447355852642, 3.3697388882059838, 3.3114461149329872]"
r1+r2-rf-rdkit_2d_normalized,28,0.49860615053212975,"[1.8750612633917, 1.6074550232146685, 1.6074550232146685, 1.6483600109809315, 1.6283889300503116, 1.6127838567197357, 1.6483600109809315, 1.7032913781186614, 2.2265999052073573, 1.6283889300503116]","[1.8652152663100023, 1.6648211407583624, 1.5495435989027675, 1.5936851673240566, 1.757357866132799, 1.522148154387054, 1.9141611405470256, 1.804510307440529, 2.944501477236008, 2.990455026289738]"
r1+r2-rf-rdkit_2d_normalized,29,0.7614568972017103,"[1.5502283530550942, 1.975431808509263, 1.9912260756924949, 3.0372272345822746, 4.53308538644057, 3.8242234903608168, 3.880813592280792, 3.979297923083695, 3.5658478186735176, 4.004170849612427]","[2.5895772917571627, 3.2936585047814075, 3.4529815413781826, 3.374542609491692, 4.084273903174498, 3.5985385554134943, 3.6422767569767536, 3.801136910162158, 3.353185908044708, 3.418119805526205]"
r1+r2-rf-rdkit_2d_normalized,30,0.63624633465086,"[2.2833012287035497, 3.5341530741850624, 3.390405156480081, 3.3945392313722045, 4.214327154074388, 3.710963118995276, 3.494154594018443, 3.868438702162959, 2.904985881099363, 2.9190780923760737]","[2.0618388715302545, 2.353593390771413, 2.5932663335046264, 2.885701643382753, 4.222845592590745, 3.1907802397406577, 3.445958499595446, 3.827590957503478, 3.655946682241556, 3.853093579130194]"
r1+r2-rf-rdkit_2d_normalized,31,0.36541035877767675,"[1.4471580313422192, 1.290034611362518, 1.3324384599156054, 1.2041199826559248, 1.3324384599156054, 1.3891660843645326, 1.290034611362518, 1.7442929831226763, 3.3988077302032647, 2.0433622780211294]","[1.6601536668188543, 1.3631876863357355, 1.399068682580726, 1.3718333633938662, 1.403561688438258, 1.3819222217531175, 1.5538554442313577, 1.7646914296902216, 3.1284275981882605, 3.093946636276939]"
r1+r2-rf-rdkit_2d_normalized,32,0.3759034313500672,"[2.127104798364808, 2.2730012720637376, 2.251638220448212, 2.4913616938342726, 3.896719071958632, 2.3560258571931225, 2.0827853703164503, 2.298853076409707, 3.382197210377454, 4.151737481038518]","[1.945648111602128, 2.03735511348163, 2.304652242351292, 2.246461612175537, 3.2513590594417088, 2.1871120366122194, 2.5093337470355053, 2.4496209451060373, 3.3762326510096567, 3.3693946847868173]"
